Thank,Exclamation_Mark,Feedback,Sentiment_Scores_NEG,Sentiment_Scores_NEU,Sentiment_Scores_POS,Opinion_Lexicon_POS,Opinion_Lexicon_NEG
False,False,True,0.035,0.735,0.23,2,2
False,False,False,0.068,0.785,0.147,1,7
False,False,True,0.0,0.935,0.065,1,0
True,False,False,0.051,0.746,0.203,0,0
True,False,False,0.095,0.456,0.449,1,1
False,False,False,0.056,0.882,0.062,0,1
False,False,False,0.0,0.804,0.196,1,2
False,False,False,0.057,0.943,0.0,1,1
False,False,False,0.084,0.792,0.124,3,5
False,False,False,0.0,0.831,0.169,1,1
False,False,False,0.0,0.876,0.124,1,2
False,False,False,0.142,0.858,0.0,0,1
False,False,False,0.0,0.973,0.027,1,0
True,True,False,0.0,0.365,0.635,0,0
False,False,False,0.0,0.36,0.64,2,0
False,True,False,0.273,0.727,0.0,0,0
False,False,False,0.039,0.961,0.0,1,1
False,False,False,0.0,1.0,0.0,0,0
False,False,False,0.016,0.961,0.023,2,1
True,False,True,0.056,0.944,0.0,0,0
True,True,False,0.098,0.802,0.1,9,13
False,False,False,0.053,0.766,0.181,3,3
True,False,False,0.088,0.749,0.163,1,1
False,False,False,0.062,0.774,0.164,1,0
True,False,False,0.247,0.581,0.172,3,3
False,False,False,0.148,0.81,0.041,0,5
True,False,False,0.0,0.667,0.333,0,0
False,False,False,0.101,0.826,0.073,2,2
True,True,False,0.139,0.67,0.191,4,2
False,False,False,0.0,1.0,0.0,0,0
False,False,False,0.098,0.879,0.024,1,3
True,False,False,0.0,0.746,0.254,1,1
False,False,False,0.0,0.541,0.459,1,0
False,False,False,0.024,0.976,0.0,0,1
False,False,False,0.029,0.87,0.101,7,3
True,True,False,0.0,0.892,0.108,0,0
False,False,True,0.014,0.892,0.095,4,0
False,False,False,0.0,0.94,0.06,0,0
True,True,False,0.0,0.254,0.746,1,0
True,False,False,0.0,0.737,0.263,0,0
True,False,False,0.0,0.0,1.0,0,0
False,False,False,0.124,0.787,0.089,8,13
False,False,False,0.026,0.856,0.118,3,6
True,False,True,0.051,0.87,0.08,3,3
False,False,False,0.018,0.817,0.165,2,2
False,True,False,0.064,0.815,0.121,2,5
False,False,False,0.123,0.821,0.056,0,3
False,False,False,0.0,0.903,0.097,1,0
False,False,False,0.228,0.721,0.051,1,2
False,False,False,0.047,0.827,0.127,1,2
False,False,False,0.021,0.811,0.168,6,0
False,False,False,0.0,0.903,0.097,1,0
False,False,False,0.0,0.892,0.108,3,1
True,False,False,0.0,0.772,0.228,3,1
False,True,False,0.14,0.805,0.055,1,2
False,False,False,0.04,0.847,0.113,2,2
True,True,False,0.087,0.766,0.147,2,1
False,False,False,0.112,0.721,0.167,4,1
False,False,False,0.131,0.776,0.093,1,3
False,False,False,0.113,0.711,0.176,1,1
False,False,False,0.071,0.787,0.142,0,1
False,False,False,0.0,1.0,0.0,0,0
False,False,False,0.0,0.837,0.163,0,0
False,False,False,0.0,1.0,0.0,0,0
False,False,False,0.035,0.772,0.192,5,0
True,False,False,0.0,0.853,0.147,2,2
False,True,False,0.067,0.823,0.11,4,2
False,True,False,0.05,0.885,0.065,6,2
False,True,False,0.054,0.834,0.112,2,2
False,False,False,0.0,0.847,0.153,2,0
False,False,False,0.0,0.922,0.078,1,0
False,False,False,0.0,0.83,0.17,2,0
False,False,False,0.057,0.917,0.025,0,1
False,False,False,0.198,0.738,0.064,1,4
False,False,False,0.074,0.926,0.0,1,3
False,False,False,0.0,0.836,0.164,2,2
True,False,False,0.0,0.871,0.129,1,0
False,False,True,0.075,0.781,0.144,4,3
False,False,False,0.0,0.771,0.229,2,3
True,False,False,0.0,0.508,0.492,0,0
False,False,False,0.0,0.725,0.275,2,1
False,False,False,0.132,0.853,0.015,0,3
False,False,False,0.036,0.834,0.129,1,1
False,False,False,0.266,0.642,0.092,1,1
False,False,False,0.0,0.881,0.119,0,1
True,False,False,0.0,0.838,0.162,0,0
False,False,False,0.0,1.0,0.0,0,0
True,False,False,0.0,0.417,0.583,0,0
False,True,True,0.043,0.905,0.052,1,6
False,False,False,0.076,0.791,0.133,1,3
True,True,False,0.0,0.477,0.523,1,0
False,False,False,0.034,0.877,0.089,2,1
False,False,False,0.009,0.814,0.178,7,1
False,False,False,0.549,0.451,0.0,0,3
False,False,False,0.177,0.748,0.075,0,1
True,False,False,0.068,0.772,0.161,4,12
False,True,True,0.056,0.78,0.164,3,1
False,True,False,0.044,0.871,0.084,0,1
False,False,True,0.12,0.802,0.078,0,2
False,False,False,0.071,0.83,0.099,1,2
False,False,False,0.0,0.805,0.195,1,0
False,False,False,0.0,1.0,0.0,0,1
False,False,False,0.0,1.0,0.0,0,1
False,False,True,0.05,0.873,0.077,2,1
True,False,False,0.0,0.927,0.073,0,2
True,False,False,0.0,0.667,0.333,1,0
True,False,False,0.0,0.57,0.43,1,0
False,False,False,0.046,0.954,0.0,1,1
False,False,False,0.077,0.813,0.11,2,3
False,True,False,0.0,0.386,0.614,1,0
False,False,False,0.282,0.718,0.0,0,2
True,False,False,0.0,0.848,0.152,0,1
True,True,False,0.031,0.876,0.093,2,2
False,False,False,0.0,0.813,0.187,1,0
False,False,False,0.094,0.863,0.044,2,2
False,False,False,0.0,0.84,0.16,2,0
True,True,False,0.079,0.85,0.071,5,8
False,False,False,0.0,0.886,0.114,2,1
True,False,False,0.043,0.839,0.118,1,0
False,False,False,0.0,0.911,0.089,3,1
True,False,False,0.068,0.82,0.111,0,2
False,True,False,0.103,0.602,0.295,2,2
True,False,False,0.0,0.628,0.372,1,0
True,False,False,0.0,0.683,0.317,2,0
False,False,False,0.0,0.903,0.097,0,0
True,False,False,0.0,0.553,0.447,0,0
False,True,False,0.093,0.907,0.0,2,2
False,False,False,0.0,0.922,0.078,1,1
False,False,False,0.0,0.779,0.221,3,2
True,True,True,0.097,0.677,0.226,4,1
False,False,False,0.033,0.917,0.05,0,0
False,False,False,0.0,0.865,0.135,0,0
True,False,False,0.082,0.763,0.154,1,3
False,False,False,0.135,0.865,0.0,1,1
True,False,True,0.057,0.798,0.145,1,3
False,False,False,0.0,1.0,0.0,1,0
True,False,False,0.032,0.884,0.084,0,2
False,False,False,0.0,0.847,0.153,2,0
True,False,False,0.0,0.64,0.36,0,1
False,False,False,0.05,0.749,0.201,2,2
False,False,False,0.0,0.865,0.135,0,0
False,False,False,0.0,1.0,0.0,0,0
True,False,False,0.0,0.59,0.41,2,0
True,False,False,0.041,0.877,0.082,1,3
False,False,False,0.038,0.902,0.06,1,1
False,False,False,0.0,0.795,0.205,3,1
True,False,False,0.0,0.692,0.308,2,2
True,False,False,0.085,0.71,0.205,1,1
False,False,False,0.163,0.837,0.0,1,3
False,False,False,0.0,1.0,0.0,0,0
True,True,True,0.012,0.854,0.135,5,0
False,False,False,0.046,0.91,0.045,2,1
False,False,False,0.037,0.869,0.095,5,0
True,True,False,0.0,0.641,0.359,0,0
False,False,False,0.0,1.0,0.0,0,0
False,False,False,0.029,0.838,0.133,2,4
True,False,False,0.0,0.588,0.412,1,0
True,False,False,0.081,0.856,0.063,7,8
False,False,False,0.0,0.78,0.22,3,2
True,False,False,0.0,0.921,0.079,0,0
False,False,False,0.0,0.812,0.188,1,1
False,False,False,0.135,0.786,0.08,1,1
False,False,False,0.0,1.0,0.0,0,0
False,False,False,0.528,0.472,0.0,0,1
False,False,False,0.0,0.906,0.094,1,1
False,True,False,0.039,0.961,0.0,1,1
False,False,False,0.065,0.857,0.078,0,1
False,False,False,0.0,1.0,0.0,0,0
False,False,False,0.017,0.889,0.094,2,1
True,False,False,0.437,0.304,0.259,0,2
False,False,False,0.0,1.0,0.0,0,0
True,False,False,0.128,0.521,0.351,0,1
True,False,False,0.0,0.688,0.312,0,0
False,True,False,0.0,0.359,0.641,1,0
False,False,False,0.0,1.0,0.0,1,0
False,False,False,0.186,0.769,0.044,3,2
False,False,False,0.054,0.848,0.098,1,5
True,False,True,0.0,0.849,0.151,2,1
True,False,False,0.031,0.74,0.23,0,1
False,False,False,0.02,0.787,0.194,0,1
True,False,False,0.036,0.69,0.274,3,2
True,False,False,0.0,0.349,0.651,0,0
True,False,False,0.015,0.911,0.074,1,1
True,False,False,0.0,0.649,0.351,0,0
False,False,False,0.05,0.891,0.059,2,3
True,False,True,0.061,0.87,0.069,4,5
False,False,False,0.0,0.884,0.116,1,2
True,False,False,0.0,0.839,0.161,0,0
True,False,False,0.06,0.88,0.06,3,2
False,False,False,0.064,0.751,0.185,8,6
True,False,False,0.075,0.691,0.235,1,1
True,False,True,0.071,0.782,0.147,1,7
False,True,False,0.0,0.81,0.19,1,1
True,True,False,0.141,0.684,0.174,3,1
True,True,False,0.0,0.675,0.325,1,1
False,False,False,0.11,0.829,0.061,1,1
False,False,False,0.088,0.772,0.14,4,1
True,False,False,0.091,0.825,0.084,1,2
False,False,False,0.139,0.83,0.031,1,4
True,False,False,0.158,0.632,0.21,1,2
True,False,True,0.014,0.938,0.048,1,1
False,False,False,0.081,0.782,0.137,1,1
False,False,False,0.077,0.779,0.143,1,3
False,True,False,0.094,0.805,0.1,4,4
False,False,False,0.0,0.86,0.14,2,2
False,False,False,0.213,0.787,0.0,1,1
False,False,False,0.0,1.0,0.0,0,0
True,False,False,0.026,0.758,0.216,4,2
False,False,False,0.036,0.944,0.02,1,2
True,False,False,0.027,0.813,0.16,6,4
False,False,False,0.0,1.0,0.0,0,0
False,False,False,0.0,0.858,0.142,2,0
False,False,False,0.0,1.0,0.0,0,0
False,False,False,0.028,0.972,0.0,0,0
True,False,False,0.0,0.463,0.537,0,0
False,True,False,0.0,0.358,0.642,1,0
False,False,False,0.189,0.526,0.284,0,1
True,True,False,0.064,0.883,0.053,2,4
False,False,False,0.0,0.937,0.063,1,1
False,False,False,0.109,0.891,0.0,1,1
True,False,False,0.018,0.8,0.183,5,1
False,False,True,0.072,0.861,0.067,1,0
True,False,False,0.03,0.823,0.147,1,4
True,True,False,0.026,0.763,0.211,2,1
False,False,False,0.047,0.672,0.281,5,1
False,False,False,0.093,0.761,0.146,0,0
True,False,False,0.0,0.659,0.341,1,1
True,True,False,0.0,0.553,0.447,3,0
False,False,False,0.2,0.758,0.042,0,2
False,False,False,0.0,0.891,0.109,0,4
False,False,False,0.0,1.0,0.0,0,1
False,False,False,0.037,0.786,0.177,2,2
False,False,False,0.0,0.841,0.159,0,0
False,False,False,0.0,0.906,0.094,2,0
False,False,True,0.109,0.742,0.148,6,4
False,False,False,0.042,0.894,0.064,0,2
False,False,False,0.051,0.857,0.091,2,2
False,False,False,0.132,0.868,0.0,0,2
False,False,False,0.0,0.936,0.064,1,0
True,False,False,0.0,0.506,0.494,2,0
True,False,False,0.141,0.716,0.143,3,2
False,False,False,0.0,0.942,0.058,2,0
False,False,False,0.01,0.964,0.026,3,1
True,False,False,0.0,0.161,0.839,2,0
False,False,False,0.0,0.4,0.6,1,0
False,False,False,0.109,0.891,0.0,2,1
False,False,False,0.0,0.955,0.045,0,2
False,False,False,0.0,1.0,0.0,0,0
False,False,False,0.038,0.861,0.101,0,0
True,False,False,0.097,0.713,0.19,1,3
False,False,False,0.0,0.79,0.21,1,0
False,False,False,0.0,0.928,0.072,0,1
False,False,False,0.026,0.823,0.151,0,1
False,True,False,0.109,0.684,0.207,1,2
False,False,False,0.0,1.0,0.0,0,0
True,False,False,0.0,0.875,0.125,0,1
False,False,False,0.0,0.896,0.104,0,0
False,True,False,0.0,0.533,0.467,1,0
True,False,False,0.0,0.615,0.385,0,0
False,True,False,0.122,0.791,0.087,0,4
False,False,False,0.0,0.872,0.128,0,0
False,False,False,0.039,0.846,0.115,2,1
True,False,False,0.104,0.852,0.044,1,2
False,False,False,0.106,0.83,0.064,3,1
False,False,False,0.0,0.819,0.181,1,1
False,False,False,0.018,0.869,0.112,3,2
False,False,False,0.057,0.645,0.298,2,0
True,True,True,0.167,0.652,0.181,1,2
False,False,False,0.0,0.929,0.071,2,1
False,True,False,0.179,0.702,0.119,1,3
True,True,True,0.05,0.839,0.111,10,9
False,False,False,0.032,0.823,0.146,2,1
True,True,False,0.066,0.813,0.122,1,2
False,False,False,0.031,0.805,0.165,4,1
False,False,False,0.032,0.762,0.207,3,2
True,False,False,0.083,0.644,0.273,2,0
False,False,False,0.088,0.789,0.123,0,1
False,False,False,0.0,0.444,0.556,0,0
False,False,False,0.034,0.77,0.196,2,0
False,False,False,0.127,0.77,0.103,1,3
False,False,False,0.0,0.87,0.13,2,3
False,False,False,0.026,0.812,0.162,3,2
False,True,False,0.175,0.771,0.055,0,1
False,False,False,0.054,0.879,0.067,0,2
True,True,False,0.128,0.545,0.327,3,1
True,False,False,0.0,0.485,0.515,1,0
True,False,True,0.032,0.822,0.145,3,2
False,False,False,0.066,0.824,0.11,1,2
False,False,False,0.0,0.849,0.151,1,2
True,False,False,0.075,0.768,0.156,1,2
False,False,False,0.106,0.894,0.0,0,1
False,False,False,0.0,0.82,0.18,1,0
True,False,False,0.0,0.81,0.19,1,0
False,False,False,0.078,0.867,0.055,2,1
False,False,False,0.0,0.809,0.191,0,0
False,False,False,0.307,0.693,0.0,0,2
False,False,False,0.0,0.911,0.089,3,1
True,False,False,0.0,0.836,0.164,0,0
False,False,False,0.0,0.871,0.129,0,0
True,False,False,0.0,0.476,0.524,2,0
False,False,False,0.169,0.831,0.0,0,1
False,False,False,0.0,0.911,0.089,1,2
False,False,False,0.144,0.856,0.0,0,1
False,False,False,0.012,0.911,0.077,2,3
False,False,False,0.077,0.887,0.036,0,1
False,False,False,0.0,0.899,0.101,3,0
True,False,False,0.134,0.792,0.074,0,1
False,False,False,0.0,0.885,0.115,1,2
False,False,False,0.0,0.873,0.127,1,0
False,False,False,0.053,0.837,0.11,2,7
True,False,False,0.0,0.746,0.254,1,0
False,True,False,0.045,0.796,0.159,2,1
False,True,False,0.025,0.891,0.084,0,0
False,False,True,0.068,0.805,0.127,3,2
True,False,False,0.0,0.775,0.225,3,0
False,False,False,0.0,0.857,0.143,1,0
False,False,False,0.047,0.838,0.115,2,2
False,False,False,0.0,0.817,0.183,2,2
True,False,False,0.205,0.684,0.11,1,1
False,False,False,0.303,0.536,0.161,0,1
False,False,False,0.0,1.0,0.0,0,0
True,False,False,0.0,0.588,0.412,0,0
False,False,False,0.062,0.842,0.096,0,0
False,False,False,0.0,0.892,0.108,3,0
False,False,False,0.0,0.861,0.139,1,1
False,False,False,0.147,0.64,0.213,0,1
False,False,False,0.04,0.85,0.11,2,2
True,False,False,0.071,0.836,0.093,0,1
True,False,False,0.0,0.777,0.223,2,1
False,True,False,0.154,0.73,0.116,0,1
False,False,False,0.0,0.919,0.081,0,1
True,False,False,0.0,0.685,0.315,0,1
False,True,False,0.12,0.713,0.167,1,4
False,False,False,0.0,1.0,0.0,0,1
False,False,False,0.106,0.745,0.149,1,1
False,False,False,0.412,0.588,0.0,0,0
False,False,False,0.0,1.0,0.0,0,2
True,False,False,0.0,0.746,0.254,1,1
False,False,False,0.0,0.898,0.102,1,1
False,False,False,0.0,0.834,0.166,1,1
False,False,False,0.087,0.714,0.198,0,1
False,False,False,0.0,0.907,0.093,1,1
False,False,False,0.0,0.914,0.086,2,1
True,False,False,0.0,0.46,0.54,1,0
True,False,False,0.067,0.667,0.267,1,1
True,False,False,0.102,0.725,0.173,1,1
False,False,False,0.0,0.908,0.092,3,0
True,False,False,0.08,0.793,0.127,2,1
True,False,False,0.035,0.902,0.063,4,1
True,False,True,0.051,0.818,0.131,1,1
True,False,False,0.0,0.524,0.476,1,0
True,False,False,0.046,0.753,0.202,0,1
False,True,False,0.109,0.811,0.079,0,2
False,False,False,0.121,0.879,0.0,0,1
True,False,False,0.0,0.545,0.455,1,0
True,False,False,0.061,0.865,0.074,0,1
False,False,False,0.0,1.0,0.0,0,1
False,False,False,0.038,0.962,0.0,0,0
True,False,False,0.0,0.349,0.651,0,0
True,False,False,0.0,0.67,0.33,0,1
False,False,False,0.0,0.947,0.053,0,1
False,False,False,0.0,1.0,0.0,0,1
False,False,False,0.034,0.846,0.12,1,1
False,False,False,0.0,0.931,0.069,1,3
True,False,False,0.1,0.765,0.135,2,2
False,False,False,0.116,0.884,0.0,0,2
True,False,False,0.125,0.619,0.255,2,3
False,True,False,0.199,0.801,0.0,1,5
False,False,False,0.054,0.756,0.19,2,0
False,False,True,0.166,0.834,0.0,0,1
False,False,False,0.051,0.794,0.155,4,1
False,True,False,0.186,0.764,0.05,2,3
False,False,False,0.02,0.843,0.137,4,1
False,False,False,0.0,1.0,0.0,0,0
True,False,True,0.106,0.772,0.122,4,9
True,False,True,0.109,0.732,0.159,2,0
False,False,False,0.0,0.849,0.151,4,1
True,False,True,0.127,0.777,0.096,3,6
True,True,False,0.104,0.708,0.189,1,0
False,False,True,0.101,0.871,0.028,3,1
False,False,False,0.016,0.896,0.087,1,1
False,False,False,0.0,1.0,0.0,0,2
False,False,False,0.031,0.862,0.107,1,0
True,False,False,0.0,0.82,0.18,0,0
True,False,False,0.0,0.854,0.146,0,0
False,False,False,0.028,0.832,0.14,1,2
False,False,False,0.0,0.951,0.049,0,0
False,False,False,0.016,0.876,0.108,2,0
False,False,False,0.0,0.982,0.018,1,0
True,True,False,0.119,0.795,0.086,2,4
True,False,False,0.044,0.873,0.082,3,1
False,False,False,0.104,0.896,0.0,0,1
False,False,False,0.104,0.851,0.045,3,0
False,False,False,0.0,1.0,0.0,1,0
False,False,True,0.0,0.915,0.085,2,0
False,False,False,0.0,1.0,0.0,0,0
True,False,False,0.0,0.888,0.112,0,0
False,False,True,0.272,0.728,0.0,0,2
True,False,False,0.0,0.756,0.244,0,0
False,False,False,0.0,1.0,0.0,0,0
False,False,False,0.0,1.0,0.0,0,0
False,False,False,0.135,0.865,0.0,0,1
False,True,False,0.0,0.81,0.19,1,0
False,False,False,0.058,0.942,0.0,0,0
True,False,False,0.0,0.847,0.153,0,0
False,True,False,0.02,0.795,0.184,2,0
False,False,False,0.118,0.725,0.157,3,1
False,False,False,0.0,0.867,0.133,0,0
False,False,False,0.144,0.814,0.042,1,0
False,False,False,0.0,0.888,0.112,0,0
True,False,False,0.0,0.485,0.515,1,0
True,False,False,0.0,0.835,0.165,1,0
False,False,False,0.0,0.743,0.257,2,1
True,False,False,0.0,0.458,0.542,0,0
False,False,False,0.0,1.0,0.0,0,0
True,True,False,0.0,0.828,0.172,2,1
False,False,False,0.0,1.0,0.0,0,0
False,False,False,0.033,0.916,0.051,3,3
False,False,False,0.022,0.896,0.083,3,3
True,False,False,0.0,0.898,0.102,2,0
False,False,False,0.0,0.928,0.072,1,0
False,False,False,0.0,1.0,0.0,0,0
False,False,False,0.082,0.881,0.037,2,1
False,False,False,0.039,0.849,0.112,3,2
True,False,False,0.0,0.752,0.248,0,1
False,False,False,0.0,1.0,0.0,0,1
False,True,False,0.0,0.853,0.147,1,0
True,False,False,0.0,0.632,0.368,2,0
False,True,False,0.0,0.619,0.381,2,0
True,False,False,0.116,0.801,0.083,1,1
False,False,False,0.052,0.825,0.123,1,3
False,False,False,0.034,0.896,0.07,0,1
False,False,False,0.0,1.0,0.0,0,0
True,False,False,0.0,0.819,0.181,0,0
False,False,False,0.0,0.756,0.244,3,1
False,False,False,0.076,0.924,0.0,0,1
True,False,False,0.117,0.78,0.103,1,0
False,False,False,0.0,0.882,0.118,0,0
False,True,False,0.0,0.778,0.222,1,0
False,False,False,0.0,0.863,0.137,0,0
False,False,False,0.0,0.877,0.123,0,0
False,False,False,0.0,0.958,0.042,0,0
False,False,False,0.0,1.0,0.0,1,2
False,False,False,0.144,0.762,0.094,2,1
False,False,False,0.0,0.927,0.073,1,0
True,False,False,0.43,0.199,0.371,0,0
False,False,False,0.13,0.779,0.09,1,3
False,False,False,0.156,0.844,0.0,0,1
False,False,False,0.179,0.786,0.035,0,2
False,False,False,0.243,0.71,0.047,0,2
True,False,False,0.0,0.793,0.207,0,0
False,False,False,0.046,0.892,0.062,0,2
False,False,False,0.0,0.926,0.074,0,1
False,True,False,0.0,1.0,0.0,0,1
False,False,False,0.0,1.0,0.0,0,0
False,False,False,0.0,0.865,0.135,0,0
True,True,False,0.102,0.736,0.162,3,2
False,False,False,0.0,1.0,0.0,0,0
True,True,False,0.0,0.575,0.425,2,0
False,False,False,0.0,1.0,0.0,0,0
False,True,False,0.0,0.682,0.318,0,0
False,False,False,0.0,1.0,0.0,0,0
True,True,False,0.081,0.551,0.368,0,2
False,False,False,0.0,1.0,0.0,0,0
False,False,False,0.0,1.0,0.0,0,0
False,False,False,0.0,1.0,0.0,0,0
False,False,False,0.0,1.0,0.0,0,0
False,False,False,0.0,1.0,0.0,0,0
False,False,False,0.09,0.815,0.095,4,0
False,False,False,0.036,0.905,0.058,3,1
False,False,False,0.0,0.92,0.08,3,1
True,False,False,0.0,0.5,0.5,1,1
True,False,False,0.043,0.835,0.122,2,2
False,False,False,0.095,0.735,0.169,1,1
True,False,False,0.137,0.544,0.318,4,2
False,False,False,0.045,0.936,0.019,0,0
False,True,False,0.06,0.646,0.294,0,1
True,False,False,0.0,0.246,0.754,1,0
False,False,False,0.0,0.803,0.197,1,1
False,False,False,0.18,0.82,0.0,0,0
True,True,False,0.0,0.934,0.066,1,1
True,False,False,0.11,0.754,0.136,1,2
True,True,False,0.041,0.91,0.05,1,1
True,True,False,0.098,0.82,0.082,0,1
True,True,False,0.069,0.713,0.219,1,1
False,False,False,0.0,1.0,0.0,1,0
True,False,False,0.0,0.85,0.15,2,1
False,True,False,0.023,0.82,0.157,6,2
True,True,False,0.035,0.827,0.138,1,0
False,False,False,0.095,0.671,0.234,0,1
False,False,False,0.0,0.859,0.141,0,0
False,False,False,0.0,1.0,0.0,0,0
False,False,False,0.055,0.796,0.149,2,1
True,False,False,0.045,0.662,0.293,2,1
False,False,False,0.0,0.918,0.082,1,1
True,False,False,0.06,0.772,0.169,5,2
False,False,False,0.0,0.902,0.098,1,0
True,False,False,0.205,0.566,0.229,2,1
False,False,False,0.134,0.805,0.061,0,0
False,False,True,0.065,0.701,0.235,3,1
True,True,False,0.138,0.704,0.159,4,2
False,False,False,0.0,0.911,0.089,1,0
False,False,True,0.053,0.843,0.104,2,2
False,False,False,0.0,0.953,0.047,3,1
False,False,False,0.134,0.757,0.109,1,5
False,False,False,0.064,0.844,0.092,1,5
False,False,False,0.0,0.804,0.196,0,1
False,False,False,0.05,0.859,0.09,0,1
False,False,False,0.0,0.891,0.109,0,1
False,False,False,0.0,0.89,0.11,0,2
False,False,False,0.0,1.0,0.0,0,0
False,False,False,0.103,0.828,0.07,0,2
False,False,False,0.081,0.919,0.0,0,1
False,False,False,0.0,0.844,0.156,1,1
True,False,False,0.0,0.664,0.336,1,0
False,False,False,0.121,0.804,0.076,0,1
True,False,False,0.0,0.52,0.48,1,0
False,False,False,0.015,0.835,0.15,3,1
False,False,False,0.033,0.779,0.188,1,2
False,False,False,0.064,0.898,0.038,2,3
True,False,False,0.031,0.833,0.136,1,1
False,False,False,0.022,0.85,0.128,1,4
False,False,False,0.052,0.948,0.0,1,1
False,False,False,0.0,0.936,0.064,0,0
False,False,False,0.0,1.0,0.0,0,0
True,False,False,0.0,0.918,0.082,2,0
False,False,False,0.0,0.879,0.121,2,0
True,False,False,0.046,0.824,0.131,7,8
False,False,False,0.06,0.894,0.046,1,1
False,False,False,0.277,0.723,0.0,0,1
False,False,True,0.066,0.869,0.066,0,2
False,False,False,0.0,1.0,0.0,0,0
False,False,False,0.0,0.962,0.038,0,1
True,False,False,0.152,0.543,0.304,0,0
True,False,True,0.0,0.756,0.244,1,0
False,False,True,0.0,0.829,0.171,3,1
True,False,True,0.059,0.824,0.117,0,1
False,True,False,0.0,0.919,0.081,0,0
False,False,False,0.0,0.526,0.474,0,0
False,False,False,0.0,0.846,0.154,0,1
False,False,True,0.0,0.955,0.045,3,1
False,False,False,0.0,0.952,0.048,1,0
False,False,False,0.053,0.877,0.07,1,3
False,False,False,0.06,0.807,0.133,2,2
False,False,False,0.056,0.863,0.08,2,2
False,False,False,0.0,0.896,0.104,2,4
True,False,False,0.074,0.829,0.097,0,2
False,False,False,0.061,0.782,0.156,3,0
False,False,False,0.0,0.885,0.115,0,0
False,False,True,0.0,0.866,0.134,1,1
False,False,False,0.268,0.732,0.0,0,0
False,False,False,0.091,0.801,0.108,0,1
False,True,False,0.567,0.433,0.0,1,0
False,False,False,0.0,1.0,0.0,2,0
False,False,False,0.0,1.0,0.0,0,0
False,False,False,0.188,0.684,0.128,0,0
False,False,False,0.064,0.832,0.104,2,0
False,False,False,0.0,0.965,0.035,0,0
False,False,False,0.0,0.935,0.065,0,0
False,False,False,0.031,0.911,0.058,1,2
False,False,False,0.163,0.698,0.139,0,1
False,False,False,0.0,1.0,0.0,0,0
False,False,False,0.0,0.804,0.196,1,0
False,False,False,0.17,0.718,0.112,1,1
False,False,False,0.086,0.852,0.063,1,1
False,False,False,0.0,0.758,0.242,0,0
False,False,False,0.0,1.0,0.0,0,0
True,True,False,0.0,0.0,1.0,0,0
False,False,False,0.0,0.576,0.424,0,0
True,False,False,0.093,0.742,0.165,2,1
False,False,False,0.0,0.756,0.244,2,0
