Absolute_Position,Normalized_Position,Utterance_Length,Utterance_Length_Unique,Utterance_Length_Stemmed_Unique,Is_Starter
3,0.5,64,47,45,True
4,0.6666666666666666,82,59,55,False
5,0.8333333333333334,57,46,45,True
6,1.0,53,46,46,False
1,0.2,50,39,39,True
2,0.4,84,70,65,False
3,0.6,20,18,18,False
4,0.8,22,19,19,True
5,1.0,16,14,14,True
1,0.14285714285714285,33,19,19,True
2,0.2857142857142857,36,33,33,False
3,0.42857142857142855,34,30,30,True
4,0.5714285714285714,41,34,32,False
5,0.7142857142857143,15,10,10,True
6,0.8571428571428571,57,45,42,False
7,1.0,61,36,36,True
1,0.2,64,48,42,True
2,0.4,26,24,24,False
3,0.6,61,46,44,True
4,0.8,100,77,70,False
5,1.0,13,12,12,True
1,0.2,35,25,24,True
2,0.4,41,33,31,False
3,0.6,125,82,78,False
4,0.8,5,5,5,True
5,1.0,3,3,3,False
1,0.25,50,39,37,True
2,0.5,28,23,23,False
3,0.75,18,15,14,True
4,1.0,63,43,39,False
1,0.1,56,44,43,True
2,0.2,16,15,14,False
3,0.3,25,19,19,False
4,0.4,56,41,40,True
5,0.5,41,33,33,True
6,0.6,17,17,16,False
7,0.7,30,25,25,True
8,0.8,26,22,22,False
9,0.9,18,15,15,True
10,1.0,12,11,11,False
1,0.16666666666666666,65,60,59,True
2,0.3333333333333333,14,13,13,False
3,0.5,110,79,76,False
4,0.6666666666666666,85,59,55,True
5,0.8333333333333334,48,37,35,True
6,1.0,39,29,29,False
1,0.2,86,68,67,True
2,0.4,21,15,15,False
3,0.6,37,29,29,True
4,0.8,79,58,57,False
5,1.0,49,41,41,False
1,0.3333333333333333,279,160,146,True
2,0.6666666666666666,53,43,39,False
3,1.0,74,55,55,True
1,0.3333333333333333,82,60,57,True
2,0.6666666666666666,160,74,68,False
3,1.0,26,23,23,True
1,0.3333333333333333,15,12,12,True
2,0.6666666666666666,5,5,5,False
3,1.0,28,26,26,True
1,0.3333333333333333,58,43,41,True
2,0.6666666666666666,29,27,27,False
3,1.0,62,50,47,True
1,0.25,31,23,23,True
2,0.5,57,44,42,False
3,0.75,24,20,20,True
4,1.0,7,7,7,True
1,0.25,45,34,34,True
2,0.5,32,29,27,False
3,0.75,35,29,29,False
4,1.0,39,33,32,True
1,0.25,57,42,40,True
2,0.5,18,18,18,False
3,0.75,23,18,18,True
4,1.0,19,16,16,False
1,0.16666666666666666,25,24,24,True
2,0.3333333333333333,11,9,9,True
3,0.5,82,56,53,False
4,0.6666666666666666,35,27,26,True
5,0.8333333333333334,27,21,21,False
6,1.0,8,7,7,True
1,0.25,30,26,26,True
2,0.5,42,35,34,False
3,0.75,16,14,14,True
4,1.0,133,76,68,False
1,0.25,50,39,37,True
2,0.5,63,42,40,False
3,0.75,12,12,11,True
4,1.0,28,25,24,False
1,0.25,62,54,53,True
2,0.5,94,68,66,False
3,0.75,35,29,28,True
4,1.0,30,26,26,False
1,0.3333333333333333,79,62,61,True
2,0.6666666666666666,94,66,60,False
3,1.0,13,8,8,True
1,0.25,20,20,18,True
2,0.5,39,34,31,False
3,0.75,49,40,40,False
4,1.0,16,12,12,True
1,0.3333333333333333,11,10,10,True
2,0.6666666666666666,3,3,3,False
3,1.0,7,7,7,True
1,0.3333333333333333,22,18,16,True
2,0.6666666666666666,58,45,43,False
3,1.0,18,17,17,False
1,0.25,22,19,19,True
2,0.5,46,36,35,False
3,0.75,67,46,43,True
4,1.0,27,21,21,False
1,0.3333333333333333,16,13,13,True
2,0.6666666666666666,18,17,17,False
3,1.0,10,9,9,True
1,0.2,41,32,29,True
2,0.4,44,33,30,False
3,0.6,15,13,13,True
4,0.8,4,4,4,False
5,1.0,22,19,18,False
1,0.3333333333333333,26,25,25,True
2,0.6666666666666666,25,20,20,False
3,1.0,37,32,32,False
1,0.2,13,13,12,True
2,0.4,25,22,22,False
3,0.6,45,35,35,False
4,0.8,5,5,5,True
5,1.0,18,16,16,False
1,0.14285714285714285,47,36,36,True
2,0.2857142857142857,70,48,47,False
3,0.42857142857142855,105,68,61,False
4,0.5714285714285714,84,54,51,False
5,0.7142857142857143,92,63,61,True
6,0.8571428571428571,12,12,12,True
7,1.0,26,21,21,True
1,0.3333333333333333,40,31,31,True
2,0.6666666666666666,10,9,9,False
3,1.0,6,6,6,True
1,0.25,58,42,38,True
2,0.5,45,36,36,False
3,0.75,30,27,27,False
4,1.0,6,6,6,True
1,0.3333333333333333,26,22,21,True
2,0.6666666666666666,15,14,13,False
3,1.0,4,4,4,True
1,0.1111111111111111,54,44,44,True
2,0.2222222222222222,96,66,65,False
3,0.3333333333333333,78,60,59,True
4,0.4444444444444444,25,21,20,False
5,0.5555555555555556,35,29,29,True
6,0.6666666666666666,45,36,35,False
7,0.7777777777777778,29,26,25,False
8,0.8888888888888888,9,9,9,True
9,1.0,65,48,47,False
1,0.125,72,52,52,True
2,0.25,96,67,65,False
3,0.375,9,8,8,False
4,0.5,171,101,97,True
5,0.625,62,45,42,True
6,0.75,83,68,65,False
7,0.875,145,91,84,True
8,1.0,32,26,26,True
1,0.3333333333333333,113,76,72,True
2,0.6666666666666666,64,53,52,False
3,1.0,22,21,21,False
1,0.1,67,53,52,True
2,0.2,52,40,40,False
3,0.3,20,18,18,True
4,0.4,63,49,47,True
5,0.5,44,37,36,False
6,0.6,43,35,32,False
7,0.7,95,68,66,True
8,0.8,69,58,54,True
9,0.9,40,36,36,False
10,1.0,14,12,12,True
1,0.3333333333333333,94,58,55,True
2,0.6666666666666666,19,17,17,True
3,1.0,49,40,37,False
1,0.3333333333333333,13,13,13,True
2,0.6666666666666666,76,47,46,False
3,1.0,10,9,9,False
1,0.3333333333333333,26,22,18,True
2,0.6666666666666666,20,16,15,True
3,1.0,4,4,4,False
1,0.16666666666666666,26,22,21,True
2,0.3333333333333333,38,31,30,False
3,0.5,13,12,12,False
4,0.6666666666666666,15,14,14,True
5,0.8333333333333334,39,32,32,False
6,1.0,23,20,19,True
1,0.25,37,25,25,True
2,0.5,42,33,33,False
3,0.75,44,39,39,False
4,1.0,4,4,4,True
1,0.3333333333333333,66,44,42,True
2,0.6666666666666666,36,30,30,False
3,1.0,6,6,6,False
1,0.125,15,14,14,True
2,0.25,51,43,42,False
3,0.375,11,11,11,True
4,0.5,134,89,75,False
5,0.625,107,77,64,True
6,0.75,89,62,59,False
7,0.875,47,32,31,True
8,1.0,25,22,21,False
1,0.3333333333333333,70,50,49,True
2,0.6666666666666666,47,39,35,False
3,1.0,22,19,19,True
1,0.25,9,9,9,True
2,0.5,45,38,37,False
3,0.75,15,11,11,True
4,1.0,19,18,17,False
1,0.25,44,34,33,True
2,0.5,82,57,52,False
3,0.75,45,27,27,True
4,1.0,6,6,6,True
1,0.25,22,19,19,True
2,0.5,28,22,22,False
3,0.75,26,26,26,False
4,1.0,20,19,18,False
1,0.25,26,21,21,True
2,0.5,43,34,32,False
3,0.75,9,9,9,True
4,1.0,26,21,20,False
1,0.2,51,39,38,True
2,0.4,41,31,30,False
3,0.6,28,22,22,True
4,0.8,28,24,22,False
5,1.0,8,7,7,True
1,0.2,41,35,32,True
2,0.4,9,9,9,False
3,0.6,20,19,19,False
4,0.8,40,31,30,False
5,1.0,21,18,18,False
1,0.2,73,48,48,True
2,0.4,48,41,36,False
3,0.6,15,15,14,False
4,0.8,6,6,6,False
5,1.0,32,21,20,False
1,0.25,61,48,46,True
2,0.5,35,25,24,False
3,0.75,16,16,16,True
4,1.0,2,2,2,False
1,0.3333333333333333,45,22,22,True
2,0.6666666666666666,18,17,17,False
3,1.0,46,31,29,True
1,0.16666666666666666,11,10,10,True
2,0.3333333333333333,9,9,9,False
3,0.5,23,20,20,False
4,0.6666666666666666,25,21,21,False
5,0.8333333333333334,7,6,6,False
6,1.0,93,59,58,False
1,0.3333333333333333,41,33,33,True
2,0.6666666666666666,51,39,38,False
3,1.0,6,6,6,True
1,0.3333333333333333,60,44,41,True
2,0.6666666666666666,28,25,25,False
3,1.0,35,26,25,True
1,0.25,53,41,39,True
2,0.5,28,24,23,False
3,0.75,8,8,8,True
4,1.0,31,24,24,False
1,0.16666666666666666,19,17,16,True
2,0.3333333333333333,80,45,42,False
3,0.5,41,34,33,True
4,0.6666666666666666,85,52,48,False
5,0.8333333333333334,12,12,12,True
6,1.0,23,18,18,False
1,0.25,33,24,24,True
2,0.5,65,51,50,False
3,0.75,103,75,71,False
4,1.0,46,38,37,False
1,0.16666666666666666,19,15,15,True
2,0.3333333333333333,30,25,25,False
3,0.5,2,2,2,True
4,0.6666666666666666,62,48,46,False
5,0.8333333333333334,28,24,24,True
6,1.0,38,31,31,False
1,0.2,85,62,54,True
2,0.4,27,24,24,False
3,0.6,14,12,12,True
4,0.8,31,27,27,False
5,1.0,15,14,14,False
1,0.1,78,55,48,True
2,0.2,58,49,43,False
3,0.3,68,50,48,True
4,0.4,43,35,32,False
5,0.5,64,49,49,True
6,0.6,81,61,57,True
7,0.7,10,9,9,True
8,0.8,38,32,31,True
9,0.9,23,18,18,True
10,1.0,19,16,16,False
1,0.14285714285714285,3,3,3,True
2,0.2857142857142857,20,17,17,False
3,0.42857142857142855,16,16,16,True
4,0.5714285714285714,42,33,30,False
5,0.7142857142857143,16,13,12,True
6,0.8571428571428571,13,12,12,False
7,1.0,8,8,8,False
1,0.3333333333333333,64,40,38,True
2,0.6666666666666666,81,62,59,False
3,1.0,80,52,49,True
1,0.16666666666666666,51,46,44,True
2,0.3333333333333333,93,63,62,False
3,0.5,25,22,20,False
4,0.6666666666666666,31,23,21,True
5,0.8333333333333334,1,1,1,True
6,1.0,101,64,61,False
1,0.2,41,34,32,True
2,0.4,234,140,123,False
3,0.6,27,24,24,False
4,0.8,8,7,7,False
5,1.0,35,28,27,False
1,0.3333333333333333,14,14,14,True
2,0.6666666666666666,45,31,30,False
3,1.0,9,9,9,True
1,0.3333333333333333,25,22,21,True
2,0.6666666666666666,62,44,44,False
3,1.0,28,23,21,True
1,0.3333333333333333,25,19,19,True
2,0.6666666666666666,4,4,4,False
3,1.0,62,40,39,False
1,0.1,130,83,79,True
2,0.2,42,30,30,False
3,0.3,48,35,33,False
4,0.4,39,29,29,False
5,0.5,88,51,48,False
6,0.6,42,33,32,False
7,0.7,28,24,24,False
8,0.8,23,21,20,False
9,0.9,13,10,10,True
10,1.0,18,14,14,False
1,0.3333333333333333,7,7,7,True
2,0.6666666666666666,35,27,27,False
3,1.0,4,4,4,True
1,0.16666666666666666,361,109,102,True
2,0.3333333333333333,34,27,27,False
3,0.5,28,24,24,False
4,0.6666666666666666,54,43,41,True
5,0.8333333333333334,30,26,26,False
6,1.0,48,32,31,False
1,0.2,31,26,25,True
2,0.4,20,18,18,False
3,0.6,16,13,12,False
4,0.8,34,31,30,True
5,1.0,11,11,11,False
1,0.2,110,71,66,True
2,0.4,123,35,34,False
3,0.6,52,27,26,False
4,0.8,4,4,4,True
5,1.0,40,25,25,False
1,0.3333333333333333,39,30,30,True
2,0.6666666666666666,58,40,36,False
3,1.0,11,10,10,True
1,0.125,242,147,135,True
2,0.25,33,27,26,False
3,0.375,26,25,24,False
4,0.5,75,55,52,True
5,0.625,14,13,13,True
6,0.75,22,20,20,False
7,0.875,105,79,77,True
8,1.0,70,52,49,True
1,0.3333333333333333,8,8,8,True
2,0.6666666666666666,64,43,43,False
3,1.0,37,30,29,False
1,0.3333333333333333,12,12,12,True
2,0.6666666666666666,40,35,35,False
3,1.0,23,20,20,False
1,0.3333333333333333,44,32,32,True
2,0.6666666666666666,46,37,35,False
3,1.0,10,10,10,True
1,0.125,98,65,61,True
2,0.25,10,10,10,False
3,0.375,42,32,31,False
4,0.5,64,35,35,True
5,0.625,6,6,6,True
6,0.75,67,42,38,False
7,0.875,22,21,21,True
8,1.0,25,21,21,False
1,0.3333333333333333,52,33,32,True
2,0.6666666666666666,54,43,42,False
3,1.0,57,48,47,False
1,0.3333333333333333,26,26,26,True
2,0.6666666666666666,29,21,21,False
3,1.0,27,25,24,True
1,0.16666666666666666,72,58,56,True
2,0.3333333333333333,21,20,20,False
3,0.5,56,45,42,True
4,0.6666666666666666,13,13,13,False
5,0.8333333333333334,42,34,34,False
6,1.0,59,44,38,True
1,0.3333333333333333,17,17,17,True
2,0.6666666666666666,40,34,34,False
3,1.0,42,35,35,False
1,0.3333333333333333,15,12,12,True
2,0.6666666666666666,17,13,12,False
3,1.0,35,26,26,False
1,0.1111111111111111,148,96,88,True
2,0.2222222222222222,72,54,52,False
3,0.3333333333333333,16,16,15,True
4,0.4444444444444444,84,55,51,False
5,0.5555555555555556,11,11,11,True
6,0.6666666666666666,161,109,102,False
7,0.7777777777777778,29,23,22,True
8,0.8888888888888888,11,10,10,False
9,1.0,54,37,37,False
1,0.3333333333333333,62,29,28,True
2,0.6666666666666666,97,68,63,False
3,1.0,33,27,26,True
1,0.14285714285714285,94,62,57,True
2,0.2857142857142857,42,33,31,False
3,0.42857142857142855,39,33,33,True
4,0.5714285714285714,52,44,41,False
5,0.7142857142857143,7,6,6,True
6,0.8571428571428571,15,14,14,False
7,1.0,4,4,4,True
1,0.14285714285714285,65,42,41,True
2,0.2857142857142857,188,115,98,False
3,0.42857142857142855,76,54,50,True
4,0.5714285714285714,13,9,9,True
5,0.7142857142857143,20,18,17,False
6,0.8571428571428571,29,24,22,False
7,1.0,62,50,48,False
1,0.2,108,67,57,True
2,0.4,37,34,33,False
3,0.6,113,76,71,False
4,0.8,66,46,45,True
5,1.0,36,29,28,False
1,0.25,30,27,27,True
2,0.5,57,44,43,False
3,0.75,81,48,47,True
4,1.0,5,5,5,False
1,0.14285714285714285,134,87,80,True
2,0.2857142857142857,6,6,6,False
3,0.42857142857142855,18,15,15,True
4,0.5714285714285714,2,2,2,False
5,0.7142857142857143,11,11,11,False
6,0.8571428571428571,7,7,7,True
7,1.0,20,17,17,False
1,0.25,45,34,32,True
2,0.5,44,34,33,False
3,0.75,42,33,31,True
4,1.0,68,39,36,False
1,0.3333333333333333,270,156,139,True
2,0.6666666666666666,18,17,16,True
3,1.0,2,2,2,False
1,0.14285714285714285,55,37,36,True
2,0.2857142857142857,57,45,44,False
3,0.42857142857142855,22,17,17,True
4,0.5714285714285714,49,37,36,False
5,0.7142857142857143,6,6,6,True
6,0.8571428571428571,28,26,26,False
7,1.0,3,3,3,True
1,0.1111111111111111,48,43,41,True
2,0.2222222222222222,18,15,14,False
3,0.3333333333333333,5,4,4,True
4,0.4444444444444444,31,26,25,False
5,0.5555555555555556,12,11,11,True
6,0.6666666666666666,19,17,17,False
7,0.7777777777777778,14,13,13,True
8,0.8888888888888888,48,28,26,False
9,1.0,7,6,6,True
1,0.3333333333333333,43,37,37,True
2,0.6666666666666666,66,49,46,False
3,1.0,5,5,5,False
1,0.3333333333333333,55,41,37,True
2,0.6666666666666666,51,38,37,False
3,1.0,54,42,40,True
1,0.2,33,24,24,True
2,0.4,38,34,33,False
3,0.6,141,89,85,False
4,0.8,53,37,37,True
5,1.0,29,24,24,False
1,0.3333333333333333,6,6,6,True
2,0.6666666666666666,26,23,23,False
3,1.0,12,10,10,True
1,0.16666666666666666,18,17,17,True
2,0.3333333333333333,46,32,31,False
3,0.5,35,29,29,True
4,0.6666666666666666,51,34,33,False
5,0.8333333333333334,34,30,29,True
6,1.0,55,42,42,False
1,0.25,41,37,36,True
2,0.5,70,51,47,False
3,0.75,16,13,13,True
4,1.0,35,31,30,False
1,0.2,37,31,30,True
2,0.4,6,6,6,True
3,0.6,46,37,36,False
4,0.8,3,3,3,True
5,1.0,28,26,26,False
1,0.25,9,9,9,True
2,0.5,33,29,27,False
3,0.75,35,26,25,True
4,1.0,26,23,21,False
1,0.3333333333333333,27,23,23,True
2,0.6666666666666666,39,31,30,False
3,1.0,4,4,4,True
1,0.2,88,62,60,True
2,0.4,66,45,43,False
3,0.6,20,14,14,True
4,0.8,102,76,71,True
5,1.0,45,34,34,False
1,0.3333333333333333,9,9,9,True
2,0.6666666666666666,46,34,33,False
3,1.0,12,10,8,False
1,0.14285714285714285,23,19,19,True
2,0.2857142857142857,66,39,36,False
3,0.42857142857142855,45,34,34,True
4,0.5714285714285714,61,40,38,False
5,0.7142857142857143,35,24,22,True
6,0.8571428571428571,12,11,11,False
7,1.0,7,6,6,True
1,0.14285714285714285,56,38,34,True
2,0.2857142857142857,144,84,76,False
3,0.42857142857142855,216,126,115,True
4,0.5714285714285714,71,47,46,False
5,0.7142857142857143,102,80,75,True
6,0.8571428571428571,29,23,23,False
7,1.0,74,52,51,False
1,0.25,38,25,25,True
2,0.5,30,26,25,False
3,0.75,13,12,11,True
4,1.0,19,17,17,False
1,0.3333333333333333,91,59,55,True
2,0.6666666666666666,45,35,33,False
3,1.0,7,7,7,False
1,0.14285714285714285,120,76,71,True
2,0.2857142857142857,7,7,7,False
3,0.42857142857142855,10,10,10,True
4,0.5714285714285714,40,34,34,False
5,0.7142857142857143,170,114,108,True
6,0.8571428571428571,25,21,21,False
7,1.0,57,45,43,False
1,0.25,50,39,39,True
2,0.5,44,35,33,False
3,0.75,22,19,19,True
4,1.0,38,31,29,False
1,0.25,58,43,43,True
2,0.5,113,61,61,False
3,0.75,48,38,37,True
4,1.0,112,60,58,False
1,0.25,37,28,28,True
2,0.5,14,14,14,True
3,0.75,33,24,22,False
4,1.0,26,24,24,False
1,0.25,8,8,8,True
2,0.5,19,17,17,False
3,0.75,51,37,35,False
4,1.0,162,99,89,False
1,0.1111111111111111,270,97,88,True
2,0.2222222222222222,125,41,41,False
3,0.3333333333333333,15,14,13,True
4,0.4444444444444444,21,21,20,True
5,0.5555555555555556,7,7,7,False
6,0.6666666666666666,43,32,32,True
7,0.7777777777777778,33,29,29,False
8,0.8888888888888888,18,16,16,True
9,1.0,32,26,24,True
1,0.25,28,25,25,True
2,0.5,25,20,20,False
3,0.75,18,16,15,False
4,1.0,23,20,20,False
1,0.25,52,41,41,True
2,0.5,30,23,23,False
3,0.75,6,6,6,True
4,1.0,38,27,27,False
1,0.16666666666666666,252,153,133,True
2,0.3333333333333333,94,69,68,False
3,0.5,8,8,8,True
4,0.6666666666666666,33,29,27,False
5,0.8333333333333334,22,17,17,False
6,1.0,11,11,11,False
1,0.3333333333333333,34,20,19,True
2,0.6666666666666666,110,68,63,False
3,1.0,42,33,32,False
1,0.2,71,44,38,True
2,0.4,53,34,34,False
3,0.6,27,22,22,True
4,0.8,14,14,13,False
5,1.0,41,29,28,True
1,0.25,18,17,17,True
2,0.5,45,32,32,False
3,0.75,9,9,9,True
4,1.0,31,25,25,False
1,0.16666666666666666,40,34,30,True
2,0.3333333333333333,39,31,30,False
3,0.5,42,37,37,True
4,0.6666666666666666,36,30,30,False
5,0.8333333333333334,29,23,22,False
6,1.0,65,47,45,False
1,0.25,19,16,16,True
2,0.5,36,31,31,False
3,0.75,51,35,34,True
4,1.0,36,29,28,False
1,0.25,14,14,14,True
2,0.5,31,27,27,False
3,0.75,27,20,20,True
4,1.0,38,29,28,False
1,0.2,43,30,29,True
2,0.4,127,88,84,False
3,0.6,81,52,50,True
4,0.8,21,20,20,False
5,1.0,3,3,3,False
1,0.3333333333333333,64,43,41,True
