Absolute_Position,Normalized_Position,Utterance_Length,Utterance_Length_Unique,Utterance_Length_Stemmed_Unique,Is_Starter,Thank,Exclamation_Mark,Feedback,Sentiment_Scores_NEG,Sentiment_Scores_NEU,Sentiment_Scores_POS,Opinion_Lexicon_POS,Opinion_Lexicon_NEG,Initial_Utterance_Similarity,Dialog_Similarity,Question_Mark,Duplicate,What,Where,When,Why,Who,How,label
2,0.25,66,53,53,False,False,False,False,0.084,0.792,0.124,3,5,0.21526722269308296,0.3254157317509675,False,False,0,0,0,0,0,0,IR PA
3,0.375,31,21,21,True,False,False,False,0.0,0.831,0.16899999999999998,1,1,0.18028231631325528,0.31542874512180563,False,False,1,0,0,0,0,0,CQ FD
4,0.5,41,34,33,False,False,False,False,0.0,0.8759999999999999,0.124,1,2,0.2596034502793985,0.4795158632929285,False,False,0,0,0,0,0,0,FQ PA
5,0.625,19,16,16,True,False,False,False,0.142,0.858,0.0,0,1,0.17496694209318633,0.2010962575022835,False,True,0,0,0,0,0,0,FD
6,0.75,88,60,57,False,False,False,False,0.0,0.973,0.027000000000000003,1,0,0.20315271802948176,0.41175806342669424,False,False,0,0,0,0,0,0,PA
7,0.875,4,3,3,True,True,True,False,0.0,0.365,0.635,0,0,0.035447386306068265,0.09526913969540007,False,False,0,0,0,0,0,0,PF
8,1.0,11,10,10,False,False,False,False,0.0,0.36,0.64,2,0,0.0,0.04386081800793365,False,False,0,0,0,0,0,0,GG
1,0.2,11,11,10,True,False,True,False,0.273,0.727,0.0,0,0,1.0,0.11007645716730753,False,False,0,0,0,0,0,0,OQ
2,0.4,89,56,55,False,False,False,False,0.039,0.961,0.0,1,1,0.06003123793246976,0.2813000322385361,True,False,1,1,0,0,1,0,CQ
3,0.6,7,5,5,False,False,False,False,0.0,1.0,0.0,0,0,0.0,0.13485556028253085,True,False,1,0,0,0,0,0,IR
4,0.8,68,52,48,False,False,False,False,0.016,0.961,0.023,2,1,0.05929609464911378,0.2723217179903612,False,False,0,0,1,0,0,0,PA FD
5,1.0,95,71,62,True,True,False,True,0.055999999999999994,0.9440000000000001,0.0,0,0,0.11200736085237842,0.2557848317328557,True,False,1,0,0,0,0,0,FD
1,0.1,452,298,279,True,True,True,False,0.098,0.802,0.1,9,13,0.9999999999999986,0.4677109060964519,False,False,1,0,1,0,1,1,OQ
2,0.2,161,84,83,False,False,False,False,0.053,0.7659999999999999,0.18100000000000002,3,3,0.3001763666961511,0.5063467961781322,True,False,0,0,0,0,0,0,PA
3,0.3,20,19,19,True,True,False,False,0.08800000000000001,0.7490000000000001,0.163,1,1,0.1916253866369949,0.36017563575202016,True,False,0,0,0,0,0,0,FQ CQ
4,0.4,128,47,47,False,False,False,False,0.062,0.774,0.16399999999999998,1,0,0.1188251174590154,0.22306824303066924,True,False,0,0,0,0,0,0,PA
5,0.5,46,33,33,True,True,False,False,0.247,0.581,0.172,3,3,0.19645047907862084,0.18357267959110926,False,False,0,0,0,0,0,0,CQ
6,0.6,38,35,33,False,False,False,False,0.14800000000000002,0.81,0.040999999999999995,0,5,0.15327837939052286,0.2823604150123641,False,False,0,0,0,0,0,0,FD
7,0.7,15,12,12,True,True,False,False,0.0,0.667,0.33299999999999996,0,0,0.06108998882062616,0.14629330349493386,False,True,0,0,0,0,0,1,GG
8,0.8,93,40,40,False,False,False,False,0.10099999999999999,0.826,0.073,2,2,0.2424360520058132,0.44803109071539055,False,False,0,0,0,0,0,0,CQ
9,0.9,48,42,42,True,True,True,False,0.139,0.67,0.191,4,2,0.26620010331419075,0.4067207827816489,True,False,0,0,0,0,0,0,PF
10,1.0,5,4,4,False,False,False,False,0.0,1.0,0.0,0,0,0.01938137278059824,0.015200431139988719,False,False,0,0,0,0,0,0,GG
1,0.3333333333333333,55,43,43,True,False,False,False,0.098,0.879,0.024,1,3,1.0,0.14964320669456485,True,False,0,0,1,0,0,1,OQ
2,0.6666666666666666,25,20,20,False,True,False,False,0.0,0.746,0.254,1,1,0.1568653046227483,0.15257706955046396,False,False,0,0,0,0,0,0,PA
3,1.0,10,8,8,True,False,False,False,0.0,0.541,0.45899999999999996,1,0,0.03399295986832155,0.036844030315725015,False,False,0,0,0,0,0,0,PF
1,0.125,46,38,36,True,False,False,False,0.024,0.976,0.0,0,1,1.0000000000000004,0.2720658303074169,True,False,0,0,0,0,0,1,OQ
2,0.25,233,146,134,False,False,False,False,0.028999999999999998,0.87,0.10099999999999999,7,3,0.2267007844641765,0.5948106836434942,False,False,0,0,1,0,0,1,PA FD
3,0.375,49,40,40,True,True,True,False,0.0,0.892,0.10800000000000001,0,0,0.1849997925036924,0.5333208248974307,True,False,0,0,0,0,0,1,CQ IR
4,0.5,98,64,60,False,False,False,True,0.013999999999999999,0.892,0.095,4,0,0.2389492199695247,0.6121189862149755,False,False,0,0,0,1,0,0,PA FD
5,0.625,21,20,20,False,False,False,False,0.0,0.94,0.06,0,0,0.09146833008206576,0.2556637876294769,False,False,0,0,0,0,0,1,PA FD
6,0.75,5,5,5,True,True,True,False,0.0,0.254,0.746,1,0,0.0,0.09837129404360556,False,False,0,0,0,0,0,0,PF
7,0.875,8,7,7,True,True,False,False,0.0,0.737,0.263,0,0,0.0,0.08307762414308947,False,False,1,0,0,0,0,0,PF
8,1.0,1,1,1,False,True,False,False,0.0,0.0,1.0,0,0,0.0,0.011088244620406671,False,False,0,0,0,0,0,0,GG
1,0.2,301,177,164,True,False,False,False,0.124,0.787,0.08900000000000001,8,13,1.0000000000000009,0.6716178184877406,True,False,0,1,0,0,0,0,OQ
2,0.4,128,83,77,False,False,False,False,0.026000000000000002,0.856,0.11800000000000001,3,6,0.4354096360145549,0.6631290567680185,False,True,0,0,0,0,0,1,PA
3,0.6,79,55,53,True,True,False,True,0.051,0.87,0.08,3,3,0.4518496295708463,0.6118328845119629,True,False,0,0,0,0,0,0,FQ FD NF
4,0.8,87,66,62,False,False,False,False,0.018000000000000002,0.8170000000000001,0.165,2,2,0.3803151558267985,0.6165158297411452,False,False,0,0,0,0,0,0,PA
5,1.0,128,84,77,True,False,True,False,0.064,0.815,0.121,2,5,0.4543329527633009,0.5873185350161474,True,False,0,0,0,0,1,0,FQ
1,0.125,62,44,43,True,False,False,False,0.12300000000000001,0.821,0.055999999999999994,0,3,1.0000000000000004,0.4401686563870957,True,False,0,0,0,0,0,1,OQ
2,0.25,15,15,15,False,False,False,False,0.0,0.903,0.09699999999999999,1,0,0.1074129056941733,0.30090028706968186,False,False,0,0,0,0,0,0,PA
3,0.375,27,19,18,True,False,False,False,0.228,0.721,0.051,1,2,0.11874430326859013,0.18885417350061276,True,False,0,0,0,0,0,0,FD NF
4,0.5,96,60,59,False,False,False,False,0.047,0.8270000000000001,0.127,1,2,0.1813795329197469,0.4221889039607112,False,False,0,0,0,0,0,1,PA
5,0.625,99,75,70,False,False,False,False,0.021,0.8109999999999999,0.168,6,0,0.247529342992036,0.5252099604014809,False,False,0,0,0,0,0,1,PA
6,0.75,27,23,23,True,False,False,False,0.0,0.903,0.09699999999999999,1,0,0.20524090731846906,0.4603615705743905,False,False,0,0,1,0,0,0,FD NF
7,0.875,31,28,28,False,False,False,False,0.0,0.892,0.10800000000000001,3,1,0.1658311510633093,0.4623420779192059,False,False,0,0,0,0,0,0,PA FD
8,1.0,44,37,36,True,True,False,False,0.0,0.772,0.228,3,1,0.19140286557476294,0.3614943922641651,False,False,0,0,0,0,0,0,PF
1,0.3333333333333333,72,57,56,True,False,True,False,0.14,0.805,0.055,1,2,0.9999999999999996,0.28323201431852124,False,False,0,0,0,0,0,0,OQ
2,0.6666666666666666,61,43,39,False,False,False,False,0.04,0.847,0.113,2,2,0.2028837534192904,0.32175346648031783,False,False,0,0,1,0,0,0,PA
3,1.0,39,35,35,True,True,True,False,0.087,0.7659999999999999,0.147,2,1,0.1828436835986401,0.31631626565826343,False,False,1,0,1,0,0,1,FD
1,0.25,45,32,31,True,False,False,False,0.11199999999999999,0.721,0.16699999999999998,4,1,0.9999999999999996,0.15027155402736228,False,False,0,0,0,0,0,1,OQ
2,0.5,28,26,26,False,False,False,False,0.131,0.7759999999999999,0.09300000000000001,1,3,0.05854667820722855,0.16187720659920693,False,False,0,0,0,1,0,0,IR PA
3,0.75,17,15,15,True,False,False,False,0.113,0.711,0.17600000000000002,1,1,0.03602477907057955,0.19578210108277716,False,False,0,0,0,0,0,0,PF FD
4,1.0,23,20,20,False,False,False,False,0.071,0.787,0.142,0,1,0.1931849912494709,0.33262731563594944,False,True,0,0,1,0,0,0,RQ
1,0.3333333333333333,9,9,9,True,False,False,False,0.0,1.0,0.0,0,0,1.0,0.026211010000106085,True,False,0,0,0,0,0,1,OQ
2,0.6666666666666666,35,32,32,False,False,False,False,0.0,0.8370000000000001,0.163,0,0,0.0227785160419084,0.026211010000106085,False,False,0,0,0,0,0,0,PA IR
3,1.0,9,9,9,False,False,False,False,0.0,1.0,0.0,0,0,1.0,0.026211010000106085,True,False,0,0,0,0,0,1,FQ RQ
1,0.25,50,38,36,True,False,False,False,0.035,0.772,0.192,5,0,0.9999999999999998,0.31410124017125296,False,False,0,0,0,0,0,0,OQ
2,0.5,139,86,77,False,True,False,False,0.0,0.853,0.147,2,2,0.15018705743482347,0.3562075467385226,False,False,0,0,0,0,0,0,PA
3,0.75,72,51,51,False,False,True,False,0.067,0.823,0.11,4,2,0.16758577868965274,0.4883542123925265,False,False,0,0,0,0,1,0,NF
4,1.0,203,110,103,False,False,True,False,0.05,0.885,0.065,6,2,0.2254803172546507,0.4044690109870968,False,False,1,0,1,1,0,0,PA FD
1,0.25,94,59,58,True,False,True,False,0.054000000000000006,0.8340000000000001,0.11199999999999999,2,2,1.0,0.3333952080646113,True,False,1,0,0,0,0,1,OQ
2,0.5,66,47,39,False,False,False,False,0.0,0.847,0.153,2,0,0.2369528923710319,0.4171041416983544,False,False,0,0,0,0,0,1,PA
3,0.75,28,20,20,False,False,False,False,0.0,0.922,0.078,1,0,0.2015171668921956,0.31088761811694826,True,False,0,0,0,0,0,1,FQ FD
4,1.0,38,31,31,False,False,False,False,0.0,0.83,0.17,2,0,0.1599146281566639,0.3175892889480131,False,False,0,0,0,0,0,1,PA
1,0.2,52,41,40,True,False,False,False,0.057,0.917,0.025,0,1,0.9999999999999996,0.7065047343014219,True,False,0,1,0,0,0,0,OQ
2,0.4,25,24,24,False,False,False,False,0.198,0.738,0.064,1,4,0.382559302255444,0.5480474416831671,False,False,0,0,0,0,0,0,PA IR
3,0.6,111,83,78,True,False,False,False,0.07400000000000001,0.9259999999999999,0.0,1,3,0.5373432833454532,0.6279041827900493,False,False,1,0,1,0,0,1,FD
4,0.8,49,40,37,False,False,False,False,0.0,0.836,0.16399999999999998,2,2,0.2787370832522288,0.4316121461522097,False,False,0,0,0,0,0,0,PA
5,1.0,22,15,15,True,True,False,False,0.0,0.871,0.129,1,0,0.3088322389097615,0.4612196440989152,False,False,0,0,0,0,0,0,PF FD
1,0.25,65,53,52,True,False,False,True,0.075,0.7809999999999999,0.14400000000000002,4,3,1.0000000000000002,0.1822834641237984,True,False,1,0,0,0,0,1,OQ
2,0.5,39,35,35,False,False,False,False,0.0,0.7709999999999999,0.22899999999999998,2,3,0.1529183754490918,0.2616279035340897,False,False,0,0,0,0,0,0,PA
3,0.75,2,2,2,True,True,False,False,0.0,0.508,0.49200000000000005,0,0,0.04645545561489139,0.11012498875886748,False,False,0,0,0,0,0,0,PF
4,1.0,21,19,19,False,False,False,False,0.0,0.725,0.275,2,1,0.07463819815268227,0.19658028128825447,False,False,0,0,0,0,0,0,PF
1,0.25,245,112,109,True,False,False,False,0.132,0.853,0.015,0,3,1.0,0.0884445872024077,True,False,0,0,0,0,0,1,OQ
2,0.5,40,35,34,False,False,False,False,0.036000000000000004,0.8340000000000001,0.129,1,1,0.04693333014174162,0.18034447738632045,False,False,1,0,0,0,0,0,IR FD
3,0.75,17,17,17,True,False,False,False,0.266,0.642,0.092,1,1,0.09401720914104536,0.1932504475859272,False,False,0,0,0,0,0,0,PA PF
4,1.0,10,9,9,False,False,False,False,0.0,0.8809999999999999,0.11900000000000001,0,1,0.043370942121722635,0.2707021707594855,False,True,0,0,0,0,0,0,FD RQ
1,0.3333333333333333,18,18,17,True,True,False,False,0.0,0.838,0.162,0,0,0.9999999999999994,0.16968596413721407,False,False,0,1,0,0,0,0,OQ
2,0.6666666666666666,39,30,29,False,False,False,False,0.0,1.0,0.0,0,0,0.13973125084825355,0.11254318779302204,False,False,0,0,0,0,0,0,PA
3,1.0,3,3,3,True,True,False,False,0.0,0.41700000000000004,0.583,0,0,0.13280269510311826,0.06428452183116849,False,False,0,0,0,0,0,0,PF
1,0.3333333333333333,759,241,231,True,False,True,True,0.043,0.905,0.052000000000000005,1,6,1.0000000000000004,0.1578049063374573,False,True,0,1,1,0,0,1,OQ
2,0.6666666666666666,45,37,32,False,False,False,False,0.076,0.7909999999999999,0.133,1,3,0.13794175689999882,0.15676436483218895,False,False,0,0,0,0,0,0,PA
3,1.0,6,6,6,True,True,True,False,0.0,0.47700000000000004,0.523,1,0,0.04645357135381878,0.076923729307058,False,False,0,0,0,0,0,0,PF
1,0.3333333333333333,60,47,47,True,False,False,False,0.034,0.877,0.08900000000000001,2,1,0.9999999999999996,0.1586922707908111,True,False,0,0,1,0,0,1,OQ
2,0.6666666666666666,177,125,110,False,False,False,False,0.009000000000000001,0.8140000000000001,0.17800000000000002,7,1,0.1560496381813661,0.15974834145556546,False,False,0,0,0,0,1,1,PA
3,1.0,7,7,7,True,False,False,False,0.5489999999999999,0.451,0.0,0,3,0.016103883026406182,0.03317447842041139,False,False,0,0,0,0,0,0,CQ
1,0.25,33,29,26,True,False,False,False,0.177,0.748,0.075,0,1,1.0000000000000002,0.0953342304716442,False,False,0,0,0,0,0,1,OQ
2,0.5,212,118,103,False,True,False,False,0.068,0.772,0.161,4,12,0.09693912465331392,0.3833775453192647,False,False,1,0,0,0,0,0,PA FD
3,0.75,50,42,42,False,False,True,True,0.055999999999999994,0.78,0.16399999999999998,3,1,0.020878264122444336,0.33836127009204714,False,False,1,0,0,0,0,0,PA FD
4,1.0,49,36,31,False,False,True,False,0.044000000000000004,0.871,0.084,0,1,0.07198793550266905,0.2821987717271859,True,False,0,0,0,0,0,1,NF
1,0.1111111111111111,64,47,47,True,False,False,True,0.12,0.802,0.078,0,2,1.0,0.4134888845211852,False,True,0,0,1,0,0,1,OQ
2,0.2222222222222222,18,17,17,False,False,False,False,0.071,0.83,0.099,1,2,0.13484213045261426,0.2598371010521933,False,False,0,0,0,0,0,0,PA IR
3,0.3333333333333333,18,16,16,False,False,False,False,0.0,0.805,0.195,1,0,0.14003648219912354,0.216787449411246,False,False,0,0,0,0,0,0,CQ FD
4,0.4444444444444444,3,3,3,False,False,False,False,0.0,1.0,0.0,0,1,0.11791089249798965,0.12552096788291825,False,False,0,0,0,0,0,0,FD
5,0.5555555555555556,3,3,3,False,False,False,False,0.0,1.0,0.0,0,1,0.0,0.005909596092174848,False,False,0,0,0,0,0,0,FD
6,0.6666666666666666,87,59,56,False,False,False,True,0.05,0.873,0.077,2,1,0.37618285686014347,0.4544202341525228,False,False,1,1,1,0,0,1,PA
7,0.7777777777777778,51,37,37,True,True,False,False,0.0,0.927,0.073,0,2,0.1999417482423736,0.3825546034548491,False,False,0,0,0,0,0,0,FD
8,0.8888888888888888,6,5,5,True,True,False,False,0.0,0.667,0.33299999999999996,1,0,0.0839472812648433,0.10902518785579028,False,False,0,0,0,0,0,0,PF
9,1.0,8,8,8,True,True,False,False,0.0,0.57,0.43,1,0,0.1501370866234804,0.3858499980251195,False,False,0,0,0,0,0,0,PF
1,0.2,28,26,26,True,False,False,False,0.046,0.9540000000000001,0.0,1,1,1.0,0.31614431203412124,False,False,0,0,0,0,0,0,OQ
2,0.4,62,52,51,False,False,False,False,0.077,0.813,0.11,2,3,0.3131255173830061,0.4027560313991677,False,False,0,0,0,0,0,0,IR PA
3,0.6,16,13,13,False,False,True,False,0.0,0.386,0.614,1,0,0.05126069228474253,0.07539418876482043,False,False,0,0,0,0,0,0,PA
4,0.8,10,10,9,True,False,False,False,0.282,0.718,0.0,0,2,0.16538117056336327,0.23571851760006454,False,False,0,0,0,0,0,0,CQ FD
5,1.0,11,11,11,False,True,False,False,0.0,0.848,0.152,0,1,0.08616720485930524,0.2608047703373894,True,False,0,0,0,0,0,0,FQ CQ
1,0.25,140,97,88,True,True,True,False,0.031,0.8759999999999999,0.09300000000000001,2,2,1.0000000000000044,0.3950759785236928,True,False,0,0,0,0,0,0,OQ
2,0.5,40,28,28,False,False,False,False,0.0,0.813,0.187,1,0,0.15769720469691656,0.3358749389969767,False,False,0,0,0,0,0,0,PA FD
3,0.75,92,57,54,True,False,False,False,0.094,0.863,0.044000000000000004,2,2,0.329363143843631,0.4226063786273945,True,True,1,0,0,1,0,0,RQ
4,1.0,30,26,26,False,False,False,False,0.0,0.84,0.16,2,0,0.2057634600585335,0.3284583465020326,False,False,0,0,0,0,0,0,PA FD
1,0.14285714285714285,253,149,137,True,True,True,False,0.079,0.85,0.071,5,8,1.0,0.6671113522718807,True,False,1,0,1,1,0,1,OQ
2,0.2857142857142857,94,66,62,False,False,False,False,0.0,0.8859999999999999,0.114,2,1,0.4638971033520192,0.5825717261142563,False,False,1,0,0,0,0,1,PA
